Water Source Type,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Water Treatment Method,Access to Clean Water (% of Population),"Diarrheal Cases per 100,000 people","Cholera Cases per 100,000 people","Typhoid Cases per 100,000 people"
Lake,6.31,6.97,1.71,4.55,40.9,6.54,3494,Chlorination,45.26,341,2,28
Pond,4.73,6.69,4.77,5.89,0.69,7.93,4263,Filtration,57.2,303,40,70
Tap,6.72,7.43,1.21,4.38,44.9,3.77,4737,Filtration,51.79,397,30,63
River,6.07,6.63,2.36,9.68,20.65,13.82,1105,Chlorination,79.3,402,2,96
Spring,4.16,6.78,4.69,7.19,11.52,6.59,1823,None,48.21,315,37,71
Spring,3.8,8.13,3.95,8.28,25.42,6.52,2647,None,69.25,348,23,10
Pond,3.83,7.51,4.82,8,32.98,5.39,4197,Filtration,61.9,277,25,32
Lake,5.89,6.36,3.04,9.12,2.24,9.06,88,Filtration,86.07,29,40,24
Pond,6.48,7.82,1.67,9.65,35.79,15.44,3381,Boiling,59.97,142,46,32
Pond,4.52,6.52,4.13,3.23,38.04,16.71,4703,None,90.47,276,27,99
Well,9.69,7.08,1.46,9.83,8.31,16.09,3511,None,30.01,409,8,25
Spring,0.84,7.62,0.82,9.09,8.39,12.42,2206,Chlorination,72.34,355,36,35
Tap,3.47,6.68,3.53,5.68,10.19,5.61,3185,Boiling,30.69,11,26,10
Pond,4.19,6.96,3.19,8.86,39.83,14.7,4381,Chlorination,79.98,390,47,29
Well,0.17,7.84,4.39,8.16,13.6,0.79,864,Boiling,46.44,202,2,56
Well,3.65,8.34,4.81,8.55,39.8,15.96,54,None,56.6,249,40,96
Spring,2.74,7.32,4.29,4.54,27.03,15.6,4671,Chlorination,56.63,102,48,9
Spring,5.06,6.02,0.3,7.54,38.36,13.4,2080,Boiling,89.25,467,27,92
Spring,3.36,6.85,3.32,3.18,27.68,1.96,557,Chlorination,37.15,34,31,24
Tap,7.26,7,3.92,8.94,16.79,19.95,4826,Boiling,76.68,323,34,95
Well,5.1,6.85,4.91,9.66,45.54,15.13,992,Filtration,98.69,385,6,67
Lake,1.3,7.09,1.87,7.63,35.76,14.7,4896,Chlorination,31.57,19,6,56
Tap,7.5,7.58,0.85,6.59,24.2,1.28,4291,Filtration,97.61,46,20,33
River,0.99,6.3,4.26,8.08,31.87,7.97,447,Boiling,31.29,83,31,85
Pond,8.39,6.68,1.59,5.28,30.79,1.72,1821,Chlorination,88.88,267,37,76
Spring,9.31,7.27,2.99,7.38,17.91,7.22,3819,Boiling,97.29,52,19,53
Well,3.22,6.79,1.95,8.03,21.19,11.41,2972,Boiling,99.51,272,7,50
Pond,9.26,8.48,2.01,4,15.91,17.58,91,Filtration,62.14,17,3,99
Tap,7.93,7.08,3.66,3.98,49.98,5.66,607,Chlorination,90.69,103,25,5
River,9.22,8.17,1.81,8.01,29,12.47,1251,None,38.56,151,14,58
Tap,6.66,8.24,3.47,6.02,4.6,3.29,285,Boiling,59.78,327,5,53
Tap,2.36,8.09,0.07,9.22,25.96,7.08,2921,Filtration,51.56,164,47,16
Lake,8.95,6.12,1.62,5.18,2.5,18.94,3306,None,57.66,360,31,25
Pond,1.84,8.37,1.6,3.3,14.43,14.95,101,Filtration,79.14,413,4,87
Lake,2.13,6.32,3.74,7.55,22.3,10.92,3835,Filtration,36.12,83,43,8
Tap,2.71,6.09,1.57,7.79,26.71,5.03,4235,Filtration,99.87,307,45,1
River,3.04,7.04,3.17,6.88,48.81,7.59,4930,Boiling,74.45,150,5,19
Well,5.14,6.49,3.44,7.78,49.11,3.13,1678,None,91.15,36,2,90
Well,7.13,6.46,3.29,6.67,4.9,7.07,3823,Boiling,88.08,378,28,5
Pond,9.26,6.72,3.02,7.85,26.91,3.01,534,Boiling,83.62,457,18,90
Spring,0.88,6.62,2.07,3.31,40.86,15.91,15,Chlorination,32.75,352,9,87
Spring,9.54,7.71,1.87,5.58,11.89,1.62,560,None,66.15,151,6,78
Well,9.21,6.47,2.82,4.48,37.53,3.79,2925,Chlorination,52.97,355,44,54
Tap,0.54,7.36,0.32,3.7,43.93,13.82,2383,Filtration,37.91,375,0,47
Tap,3.6,8.47,4.38,4.64,33.12,18.05,909,None,54.01,207,0,57
Lake,8.13,7.08,4.13,4.34,16.39,19.29,1413,None,75.14,49,16,96
Pond,6.12,7.6,1.73,9.81,46.16,16.72,118,Boiling,46.14,219,21,41
Lake,7.79,8.42,2.83,5.01,44.18,4.23,4062,Filtration,61.12,459,35,73
Spring,7.19,6.34,4.66,4.62,35.79,5.71,3113,Boiling,58.31,403,13,20
Well,4.97,7.05,1.36,8.84,18.18,17.42,3060,Chlorination,33.67,46,5,5
Tap,0.41,8.13,3.71,5.93,39.59,17.79,1491,Filtration,73.97,17,29,29
Well,5.84,8.33,0.41,5.95,15.81,12.81,2096,Boiling,73.32,484,45,22
River,0.49,7.5,2.62,6.11,12.65,6.27,2254,Boiling,97.65,121,46,35
Well,6.04,6.36,4.42,5.92,25.75,4.48,513,Boiling,50.86,281,32,2
River,8,8.25,2.76,5.29,49.86,17.05,1233,Filtration,59.33,493,19,89
Lake,5.85,6.44,3.08,5,40.22,4.11,4132,Chlorination,58.25,119,15,33
Lake,9.97,6.88,4.54,9.17,36.49,13.24,1479,None,94.38,250,3,29
Spring,4.56,6.94,3.58,4.13,22.6,19.36,3349,Boiling,58.61,326,33,81
Well,7.49,7.12,3.48,4.27,15.6,14.11,1540,Filtration,60.99,298,0,80
Well,6.67,7.98,2.93,7,42.8,5.15,129,None,47.66,46,12,41
River,9.91,8.01,3.16,5.41,28.39,5.65,3716,Boiling,30.08,84,47,20
Lake,7.13,7.8,4.02,5.95,40.66,1.86,3743,Filtration,37.73,298,7,87
River,1.64,6.06,4.9,8.65,24.39,13.72,1771,Chlorination,79.27,383,21,3
Lake,9.56,7.41,3.98,9.33,37.7,10.37,4454,Boiling,77.77,159,3,48
River,6.68,7.87,3.54,8.53,43.39,4.13,3075,Filtration,52.58,6,33,47
Lake,0.59,7.11,0.68,4.64,19.57,4.55,505,Boiling,63.11,244,44,88
River,6.58,8.36,4.09,9.86,0.68,0.18,4913,Filtration,50.82,214,36,50
Lake,8.83,8.06,3.68,5.54,12.75,19.57,4889,Chlorination,81.16,211,22,23
Pond,5.77,7.6,3.85,4.18,45.75,16.56,838,Chlorination,88.97,211,19,45
River,3.54,6.16,1.16,6.5,34.38,7.88,3871,Filtration,92.94,287,23,26
Well,8.21,7.63,4.52,8.08,36.86,18.92,4718,None,42.17,217,26,94
Spring,7.83,8.28,0.49,3.58,16.26,13.54,2676,Chlorination,78.65,483,12,50
Pond,5.44,6.95,1.27,7.44,35.06,15.03,96,Boiling,97.41,250,4,98
Pond,1.54,8.1,3.32,9.01,32.31,13.6,1963,Chlorination,75.54,343,15,19
River,2.51,6.78,3.37,4.83,8.92,15.14,2866,Boiling,54.57,320,37,79
Spring,7.38,7.43,1.57,7.85,48.43,3.42,4026,Chlorination,74.52,313,47,94
Well,8.06,7.62,3.51,5.8,17.7,11.25,598,Chlorination,78.19,180,28,70
Pond,2.79,7.69,1.94,5.9,16.46,16.99,2981,Boiling,57.79,91,25,17
Well,3.68,8.21,0,4.97,18.46,0.39,3963,Chlorination,37.28,217,21,7
Lake,0.78,6.59,0.81,7.37,4.59,2.47,428,Boiling,72.47,289,23,26
Spring,7.13,6.66,4.41,5.53,31.25,4.91,3781,Boiling,86.15,89,12,13
Tap,0.04,7.76,1.11,8.82,11.93,5.89,1324,Chlorination,99.83,483,42,17
Lake,0.47,6.44,0.56,9.74,40.17,3.65,2590,Chlorination,45.61,196,20,64
Spring,0.04,7.16,3.41,9.55,19.71,12.49,2414,Boiling,79.03,183,0,30
River,6.45,6.05,2.2,4.14,22.93,5.88,1767,Filtration,31.96,65,3,19
River,4.17,6.35,3.98,3.1,32.32,3.16,1516,Chlorination,97.89,415,2,69
Well,2.98,7.7,4.31,6.07,38.09,18.12,1339,None,30.88,97,49,44
Pond,9.13,7.87,4.23,8.1,11.56,13.9,4094,Chlorination,55.12,305,22,0
Tap,1.93,6.29,1.57,9.84,48.31,4.92,4659,Filtration,35.35,477,15,18
River,3.89,6.57,2.53,8.48,31.12,7.22,3403,Filtration,73.47,23,44,38
Spring,9.4,6.25,3.25,7.06,0.28,14.82,2546,Chlorination,53.76,219,12,26
Pond,4.27,7.08,1.61,3.18,20.78,15.82,976,Chlorination,81.31,173,38,55
Pond,5.55,6.32,0.21,8.78,21.84,3.53,1614,None,64.05,386,30,15
Spring,0.8,7.09,2.48,4.24,40.46,18.73,1584,Chlorination,59.36,244,23,77
Pond,7.9,7.83,0.06,3.39,15.26,15.71,4061,Filtration,54.4,113,46,97
River,4.23,7.71,4.75,8.95,16.56,17.14,4651,None,36.03,265,14,6
Spring,8.01,6.7,3.98,6.96,3.52,2.88,1270,Chlorination,44.34,389,4,19
Spring,2.54,7.68,0.96,3.9,14.18,2.87,218,None,74.74,353,48,30
Well,4.22,8.32,1.44,5.71,35.85,6.11,533,None,64.77,222,21,85
Tap,7.87,6.87,4.91,3.6,31.74,1.29,1495,Filtration,34.91,307,21,83
Well,9.74,6.82,1.87,7.47,4.07,1.82,1373,Filtration,68.08,234,10,78
Tap,0.6,7.43,3.92,4.98,5.73,2.86,4139,Boiling,33.79,305,23,24
Spring,8.12,6.61,2.23,9.06,18.85,14.25,3823,Filtration,65.82,109,44,0
Pond,3.01,7.63,4.32,5.5,37.19,0.6,3949,Boiling,97.55,313,9,16
Tap,5.51,8.08,3.52,6.46,41.65,1.66,64,Filtration,51.51,435,46,79
Spring,2.9,7.15,0.11,3.44,0.73,18.88,4341,Filtration,80.65,12,33,84
Spring,6.13,7.7,1.47,4.93,16.45,1.67,3142,Boiling,82.19,124,10,26
Well,3.54,7.63,2.79,7.74,21.21,10.75,1724,Boiling,58.34,314,42,98
Well,3.34,6.1,4.63,8.15,45.56,12.85,2205,Boiling,71.53,166,28,23
Pond,0.38,6.46,0.51,4.7,25.07,19.17,2985,None,63.04,52,21,61
Lake,1.47,8.23,3.01,6.53,13.49,18,3913,Boiling,49.84,185,32,51
River,9.17,8.35,1.51,8.72,19.5,8.81,1048,None,82.83,275,7,50
Lake,9.98,7.95,4.45,5.66,21.82,18.84,3654,None,79.2,446,48,65
Lake,7.81,8.3,3.83,3.94,33.5,8.65,2872,Boiling,93.04,351,31,56
Pond,2.87,6.77,1.85,6.02,2.05,13.4,4255,Boiling,73.27,9,39,54
Tap,4.02,6.62,0.84,7.2,19.47,5.19,1004,Boiling,57.21,409,44,52
Pond,7.4,6.96,0.06,3.05,32.33,12.73,2122,Filtration,79.98,146,22,88
Pond,9.69,6.14,3.11,5.44,14.17,10.76,4574,Filtration,73.33,476,4,18
Spring,4.55,8.02,2.03,7.25,29.59,12.14,3981,Boiling,73.16,316,30,12
Spring,8.3,8.46,1.57,9.66,17.86,13.65,4482,Chlorination,89.49,332,28,28
Spring,9.75,8.06,4.93,5.86,37.94,3.47,471,Boiling,93.73,117,5,95
River,8.73,7.39,2.33,4.14,3.03,6.03,3405,Chlorination,42.62,417,24,5
Tap,2.27,6.74,3.75,6.74,45.9,14.72,308,Filtration,51.98,339,24,72
Tap,0.08,6.49,0.89,5,8.58,3.28,2934,Filtration,75.52,427,30,0
Spring,4.92,6.91,0.07,4.5,7.93,6.88,4796,Chlorination,69.01,487,13,23
Lake,5.31,7.67,2.09,7.13,42.03,13.33,3047,Filtration,75.66,17,16,73
River,2.01,7.12,3.33,9.41,43.46,18.75,1921,Boiling,60.31,376,15,98
Lake,2.85,8.34,2.53,8.85,4.65,1.51,2999,Chlorination,58.87,225,27,5
Well,7.65,8.14,4.45,4.28,45.44,10.33,2017,Chlorination,38.24,111,8,47
Tap,4.7,6.26,2.17,8.36,13.66,1.64,4881,None,73.66,71,1,19
Tap,3.17,6.33,1.56,4.61,30.93,7.58,1478,Filtration,42.3,143,3,75
Lake,6.23,7.69,4.58,5.03,3.43,3.51,2352,Chlorination,76.97,103,19,66
River,6.53,6.58,2.03,9.44,19.03,12.99,4197,Chlorination,97.7,214,40,54
Tap,7.69,7.98,1.35,9.38,22.54,15.16,4870,Chlorination,47.95,479,35,17
Lake,1.57,7.48,0.49,4.18,29.99,4.95,3459,Filtration,39.95,76,36,20
Pond,7.42,6.57,3.97,3.45,26.26,14.26,3754,Chlorination,31.69,25,5,98
Pond,5.99,7.2,4.13,5.05,23.07,8.94,1231,Chlorination,56.52,229,0,63
River,0.58,7.02,0.17,7.07,47.98,5.67,3120,Boiling,45.02,192,44,36
Lake,7.77,8.18,1.79,9.14,9.25,10.47,571,Boiling,64.43,449,49,18
Pond,3.83,6.08,3.75,3.83,7.9,7.59,3589,None,66.7,102,2,88
River,3.3,8.24,4.73,5.9,35.67,4.6,147,Chlorination,54.45,204,36,55
Spring,4.48,7.63,1.89,4.9,3.73,15.14,3443,Filtration,82.49,410,44,61
River,3.46,7.84,4.36,3.1,24.14,15.95,596,None,93.34,259,41,17
Well,3.38,6.01,1.97,8.52,24.2,16.01,1070,None,44.81,232,2,29
Spring,8.08,7.57,0.9,8.69,15.5,7.64,3745,None,88.54,50,42,55
Lake,1.25,7.47,0.02,4.55,46.52,3.39,4250,Chlorination,39.18,467,32,41
Spring,9.71,7.34,1.65,4.06,14.13,16.81,4325,None,46.01,130,14,52
Spring,5.55,7.96,1.89,4.01,14.42,6.59,3371,Filtration,69.3,342,3,97
Lake,1.83,7.39,4.73,6.25,11.71,14.96,157,Boiling,51.46,65,14,73
Lake,1.31,8.14,1.03,4.73,7.29,16.35,922,Boiling,32.92,399,6,85
Pond,5.92,6.58,1.91,6.58,18.2,15.36,3318,Chlorination,50.64,201,46,49
Well,6.33,8.01,0.13,5.69,34.04,7.8,2346,Filtration,93.34,283,3,3
Lake,0.53,6.45,3.82,4.48,37.11,18.76,4050,Filtration,42.2,299,2,62
Tap,2.43,8.03,4.58,8.26,40.67,13.2,1246,Filtration,83.46,145,22,66
Tap,7.95,8.35,1.19,4.05,9.88,11.51,765,Chlorination,80.56,257,13,55
Well,0.5,6.84,2.14,8.59,1.78,13.96,3651,Filtration,37.44,461,5,48
River,8.55,7.32,0.61,6.93,48.73,0.89,2612,Boiling,53.06,427,32,91
River,6.58,7.65,2.28,8.82,0.72,7.81,4562,Filtration,43.25,403,8,21
Tap,4.34,6.2,0.67,3.03,48.03,17.62,3828,Filtration,31.62,311,11,11
Lake,3.46,7.24,2.62,8.24,41.44,3.22,4581,Chlorination,42.11,375,49,48
Well,0.19,6.9,3.67,3.36,45.6,8.29,443,None,44.11,103,34,12
River,8.25,8.18,2.77,9.65,19.36,8.1,904,None,41.62,150,30,32
River,1.43,8.19,1.23,7.92,9.86,7.12,2910,Chlorination,36.38,117,2,46
Spring,3.1,7.75,1.77,5.24,30.32,11.25,3209,Chlorination,66.84,315,45,63
Tap,5.69,7.64,3.19,5.24,37.06,19.92,1801,Chlorination,52.58,198,35,82
Lake,2.46,7.83,2.95,9.03,6.54,5.12,925,Chlorination,93.58,428,12,16
Well,4.97,6.91,0.68,9.32,39.88,14.1,3721,Filtration,43.1,302,12,33
River,8.09,7.01,4.22,9.24,10.43,15.16,4387,Filtration,72.2,333,33,67
Spring,4.71,7.38,2.38,8.66,24.58,11.69,751,None,93.04,420,20,38
Tap,9.49,8.35,0.81,8.73,42.82,1.95,1234,Chlorination,33.3,391,33,71
Tap,8.48,7.81,0.61,7.01,9.67,11.45,2922,Chlorination,66.14,497,41,96
Well,3.33,7.38,4.83,3.2,12.09,19.07,662,Filtration,61.55,388,42,0
River,4,7.93,1.41,3.61,3.14,6.84,3195,Chlorination,95.01,278,27,4
Well,4.23,6.93,4.54,7.55,7.33,12.79,1584,Boiling,76.46,104,46,95
Well,6.26,7.83,2.05,5.81,7.33,19.19,919,Filtration,54.44,9,34,39
Pond,2.87,7.03,1.93,6.97,10.17,15.96,4219,Boiling,79.81,112,13,62
Spring,9.69,6.7,3.5,4.62,14.31,13.77,67,Filtration,70.79,26,17,0
Tap,6.09,7.52,0.05,7.55,40.75,19.42,4570,Filtration,54.3,98,18,34
Pond,3.99,7.72,1.69,4.7,45.79,3.41,4453,Filtration,84.97,256,18,85
Lake,6.45,7.15,1.51,6.23,20.31,15.45,1766,None,76.77,326,32,92
Tap,3.95,7.41,4.34,6.35,6.41,8.14,1953,None,30.38,494,34,16
Tap,8.18,7.74,2.65,4.24,11.19,7.21,2568,Filtration,90.56,370,19,93
Spring,5.68,7.92,1.82,9.13,36.81,10.41,3708,Filtration,57.8,135,28,98
Lake,0.42,8.24,1.33,6.68,33.87,0.68,4928,Filtration,75.18,394,7,59
River,1.77,6.89,2.95,9.07,48.36,6.25,2671,Filtration,57.77,225,24,0
Lake,8.65,8.38,0.76,4.84,0.72,3.32,3399,Chlorination,91.7,126,16,3
River,5.63,7.59,1.23,4.21,37.54,2.77,1353,Chlorination,75.56,115,0,8
Lake,9.5,7.97,1.47,3.13,25.29,6.75,442,Chlorination,70.56,411,37,44
Well,0.72,7.75,3.04,3.66,45.13,16.05,600,None,98.62,289,48,31
Lake,2.95,6.51,1.87,4.03,28.81,4.02,3166,Boiling,49.64,170,29,68
Pond,1.94,6.18,2.53,3.55,22.33,10.63,3942,Filtration,34.57,211,27,13
Pond,5.54,7.82,3.25,9.28,33.29,14.97,2809,Chlorination,66.12,411,32,50
Spring,3.83,7.28,4.78,9.38,41.68,4.82,3388,Chlorination,59.68,432,12,89
River,1.57,7.76,3.82,9.56,14.12,18.48,4582,Chlorination,61.8,188,23,22
Tap,6.43,7.19,2.03,9.72,5.38,17.33,2786,Filtration,73.41,489,43,45
Spring,5.36,6.78,3.74,6.44,21.65,5.02,2695,Filtration,73.06,420,36,85
Pond,2.75,6.71,4.75,6.71,10.73,19.79,3648,Boiling,57.46,386,21,26
Pond,4.8,7.83,2.5,3.92,21.48,13.38,2052,None,90.4,264,12,88
River,7.46,6.69,2.05,3.96,49.55,5.72,631,Boiling,75.6,499,39,35
Pond,2.05,7.79,0.39,8.41,28.71,13.62,3442,Filtration,92.29,213,11,67
Pond,2.93,6.96,4.46,8.99,34.68,13.32,1754,Boiling,93.92,88,40,31
River,3.46,7.93,1.23,8.49,33.9,12.12,3033,Chlorination,41.71,129,48,72
Pond,7.47,6.36,0.32,8.84,41.04,14.23,1578,Boiling,77.64,22,45,65
Tap,8.47,6.51,2.69,4.94,47.21,5.37,25,Chlorination,52.23,178,6,41
Well,3.76,7.71,4.23,6.26,32.94,19.58,2209,Boiling,88.55,400,35,49
Spring,2.97,7.4,2.03,6.21,23.8,17.16,2902,Chlorination,81.3,408,28,56
Tap,8.89,6.51,3.92,9.97,15.89,14.91,1129,Boiling,43.91,459,28,63
Tap,9.99,8.26,4.18,9.64,18.01,0.53,4996,None,95.71,410,25,45
Well,6.7,6.69,2.27,7.19,16.72,11.81,4104,Boiling,77.84,19,26,88
Spring,9.9,7.05,2.95,3.97,16.22,14.13,4145,Filtration,96.4,328,23,73
Tap,6.6,6.51,2.67,4.81,34.73,17.08,441,Filtration,44.13,470,30,88
Pond,7.33,6.97,4.7,5.55,29.39,18.92,3895,Chlorination,90.88,419,6,53
Well,3.89,7.23,3.63,9.11,10.1,18.32,4797,Filtration,76.77,411,16,52
Spring,4.33,6.74,4.63,4.19,48.48,8.12,4849,Chlorination,68.66,241,48,28
Lake,1.44,7.92,1.1,4.54,21.39,17.93,1828,None,87.44,239,32,36
River,8.23,6.98,1.55,5.45,28.3,0.01,1535,Filtration,74.3,28,33,68
Pond,9.31,7.82,0.35,9.49,35.13,7.03,4325,Filtration,76.87,244,17,13
Well,6.23,6.52,2.5,6.53,30.68,2.28,559,Chlorination,47.76,119,40,96
River,3.44,6.94,4.37,7.53,15.55,17.66,1173,None,87.19,425,4,26
Lake,1.54,6.02,1.63,5.71,39.89,18.56,1878,None,75.52,313,0,4
Tap,2.65,7.9,0.64,4.32,5.51,5.12,2255,Boiling,89.11,373,6,43
Tap,2.55,7.56,0.34,4.56,28.45,7.35,1084,Chlorination,54.61,31,33,14
Spring,6.14,8.04,2.24,8.62,13.67,19.68,3914,Chlorination,53.22,139,2,66
Well,9.45,7.14,0.82,9.25,30.79,11.32,238,None,31.67,157,35,0
Well,0.48,8,1.73,6.45,10.9,9.94,2914,Chlorination,83.8,59,34,23
Spring,0.01,7.62,4.1,5.5,38.61,10.01,2095,Filtration,53.12,138,11,75
River,6,6.01,1.92,8.65,11.38,13.92,1471,Filtration,52.9,356,14,61
Tap,2.84,6.63,3.05,7.71,44.52,19.09,2045,Filtration,78.21,211,3,77
Tap,8.81,7.23,2.51,3.29,43.08,7.33,4612,Chlorination,47.7,138,32,56
Well,3.27,7.55,3.59,5.46,18.12,3.45,3683,Boiling,93.63,367,15,19
Well,2.9,6.16,0.78,7.78,19.29,3.7,204,Boiling,67.66,110,28,57
Spring,2.7,7.76,4.6,7.02,35.08,0.41,3600,None,97.86,485,5,13
Lake,1.45,7.36,3.22,9.85,4.52,11.11,2137,Chlorination,35.37,492,48,77
River,5.82,7.31,1.35,9.06,4.05,18.58,1213,None,53.58,335,36,52
Pond,1.68,6.73,0.62,3.42,6.82,14.26,3834,Chlorination,56.7,250,22,34
Lake,4.25,7.49,0.75,8.08,28.12,19.86,3091,Boiling,81.13,98,12,61
Lake,4.61,6.07,3.91,5.35,7.45,18.19,1382,Filtration,44.91,177,43,60
Well,0.2,6.16,2.94,7.77,13.88,9.84,3680,Chlorination,56.27,0,0,18
Well,0.17,7.83,1.9,7.32,32.35,9.73,1679,Boiling,93.74,88,11,83
Well,5.2,6.8,1.66,6.52,0.78,12.57,6,Boiling,38.02,112,26,41
Lake,6.96,6.87,4.28,8.97,9.01,2.22,1885,Boiling,82.17,282,24,43
River,9.42,6.52,4.37,7.96,46.5,12.15,3498,Filtration,79.17,115,21,86
Well,1.79,7.11,2.91,9.23,33.18,9.28,295,Boiling,39.14,31,33,97
Tap,1.03,6.13,2.62,4.97,15.28,12.85,263,None,78.19,261,17,0
River,0.52,6.75,4.08,5.44,2.27,11.3,2137,Boiling,69.88,40,40,67
Tap,4.36,7.32,3.75,7.35,29.3,6.21,4948,Boiling,50.13,419,15,80
River,6.23,7.16,2,9.77,11.14,12.16,3865,Chlorination,51.78,166,28,89
Well,8.41,8.5,0.41,5.6,48.01,7.32,4496,Chlorination,88.31,342,29,77
Pond,6.83,6.97,3.84,3.23,34.35,3.89,4452,Chlorination,46.17,220,29,45
Spring,2.08,6.97,0.84,6.12,48.71,13.5,2546,Boiling,65.89,413,19,50
Well,4.62,7.26,0.08,6.81,42.44,6.13,4929,Boiling,77.68,213,46,31
Lake,9.1,6.48,4.22,8.61,24.15,17.78,4530,None,39.09,312,21,99
Pond,3.27,8.19,2.89,8.1,33.48,3.99,118,Filtration,95.26,394,41,83
Lake,4.99,7.43,4.46,9.75,40.61,12,2395,Boiling,48.24,345,33,79
River,9.59,6.48,2.42,8.48,28.91,11.43,3367,Filtration,52.32,470,3,18
Lake,7.35,7.98,4.63,5.09,3.07,3.95,1702,Boiling,76.63,130,49,38
Pond,7.48,6.09,1.77,7.49,23.52,8.8,529,Filtration,35.47,47,30,87
Pond,2.52,8.46,3.62,7.71,6.53,13.51,3674,Chlorination,73.93,133,49,13
Well,4.15,8.16,1.5,9.99,35.74,6.37,302,Boiling,94.12,6,13,28
Tap,0.82,7.45,0.01,3.97,34.03,2.28,4067,None,47.44,43,7,41
Well,6.07,6.28,1.9,4.34,49.65,12.3,4251,Filtration,55.33,486,36,13
River,1.04,6.54,3.69,4.09,31.44,4.48,3968,Chlorination,46.26,316,4,10
Lake,8.36,6.7,0.75,7.12,40.01,13.63,13,None,87.31,437,7,74
Tap,8.15,6.6,2.52,3.95,13.41,16.79,2803,Chlorination,41.73,434,10,46
Spring,5.34,7.24,1.06,7.59,17,2.47,888,Boiling,54.26,85,28,23
Pond,1.41,8.36,0.37,8.63,45.85,8.75,3528,None,72.07,47,20,21
Tap,0.26,7.11,3.09,6.03,37.76,8.9,1196,Filtration,58.32,497,38,48
Tap,7.97,7.65,4.76,6.92,32.76,12.65,4540,Filtration,34.58,489,12,54
Well,6,7.72,1.55,9.39,12.7,6.69,2169,None,96.34,316,48,54
Spring,7.11,8.18,2.9,6.99,34.93,8.37,3568,Filtration,53.65,352,18,84
Pond,3.04,6.08,4.77,4.46,44.34,0.24,2231,Chlorination,61.2,423,2,69
River,5.09,7.01,3.25,5.4,11.54,2.45,1843,None,41.73,386,33,77
River,7.47,7.96,3.37,6.71,35.31,11.4,3651,Filtration,90.57,413,37,72
Tap,4.63,8.04,0.89,4.08,19.68,4.32,3876,Chlorination,50.4,239,18,34
Tap,6.01,8.32,2.46,7.29,5.94,2.89,2718,Filtration,31.39,151,31,43
Lake,7.9,7.76,1.84,9.99,38.17,6.49,48,Chlorination,52.15,450,46,35
Spring,2.15,6.61,2.35,7.57,8.36,3.27,180,Boiling,98.88,257,35,88
Pond,0.66,7.26,4,5.61,12.64,1.19,3878,Chlorination,40.28,43,38,14
Tap,5.32,6.08,2.3,5.32,39.15,5.68,1417,Filtration,32.18,167,13,44
Lake,0.62,7.62,0.31,9.52,37.11,3.29,3464,Chlorination,70.47,274,6,61
Spring,7.67,7.39,4.53,9.1,12.71,15.99,3419,Filtration,56.02,190,19,91
Pond,7.19,7.67,2.72,6.31,47.05,1.25,529,None,85.65,151,31,49
River,8.82,8.33,4.62,5.47,10.76,14.95,4679,None,81.23,49,45,77
Lake,6.4,7.72,2.86,7.97,49.68,7.66,1286,Boiling,42.98,275,30,12
Spring,0.67,6.8,0.35,5.2,36.89,13.51,2190,Chlorination,69.52,312,21,30
Lake,2.53,6.5,2.76,3.84,19.63,1.05,706,Boiling,32.27,494,4,4
Tap,8.08,8.14,2.88,5.17,6.52,18.41,3217,None,60.76,368,30,82
Well,1.67,6.49,1.07,6.04,16.03,15.35,293,Chlorination,79.98,305,14,7
River,6.98,6.4,2.36,4.79,9.69,2.8,1561,Chlorination,59.05,94,43,12
Tap,7.8,6.52,2.3,4.52,31.09,4.38,4517,Boiling,38.26,241,16,40
Tap,3.3,7.27,3.11,3.04,17.84,12.88,2611,Boiling,34.31,104,36,16
Spring,3.22,6.31,1.3,7.42,14.75,18.43,660,Chlorination,89.76,441,18,31
Lake,5.58,8.35,2.91,7.3,37.86,8.92,3178,Chlorination,92.39,414,9,4
River,8.61,8.42,1.2,4.32,11.53,9.71,3389,Chlorination,54.02,420,43,8
Tap,2.24,8.43,2.23,9.61,29.34,4.76,2106,Boiling,41.49,362,33,33
Spring,9.41,6.1,0.61,5.87,9.73,7.66,3063,Filtration,98.5,348,48,0
River,5.99,8.37,0.19,3.18,35.74,5.72,2840,None,68.21,259,24,39
Lake,9.92,8.49,1.6,4.54,31.26,7.01,3496,None,63.37,441,36,78
Tap,0.9,8.36,1.37,7.84,39.91,0.41,2578,Boiling,81.91,137,27,53
Pond,1.27,7.68,2.03,4.41,3.42,0.82,2051,Chlorination,41.82,318,14,31
Tap,8.27,7.75,4.81,3.38,10.51,13.61,2409,None,70.6,419,19,97
Tap,8.65,6.31,2.61,7.32,7.72,13.64,2953,None,92.31,182,12,98
River,4.45,8.19,2.77,6.63,9.53,6.6,368,None,31.61,482,19,49
River,7.14,6.15,4.71,8.33,5.15,17.71,538,None,77.11,56,42,58
River,8.68,6.79,4.61,8.41,28.1,5.32,2927,Chlorination,68.6,239,30,91
River,0.43,8.48,4.42,9.72,29.67,7.92,2393,Boiling,96.56,468,17,80
Spring,5.74,7.06,0.49,3.4,42.17,14.63,730,Chlorination,48.11,426,40,61
Well,8.53,6.33,3.17,3.27,20.89,14.87,896,Chlorination,90.12,104,47,10
